City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
Mayskiy,RU,71.01,clear sky,47.6931,40.1025,Dio Lakrua
Tougue,GN,75.47,overcast clouds,11.4667,-11.6,
Les Cayes,HT,86.2,broken clouds,18.2,-73.75,Villa Orphee
Ondjiva,AO,84.24,clear sky,-17.0667,15.7333,COMBUESA
Ubatuba,BR,71.33,clear sky,-23.4339,-45.0711,Hotel Coquille
Kyabe,TD,85.59,overcast clouds,9.4515,18.9449,
Kefalos,GR,84.42,clear sky,36.7453,26.9589,Kokalakis Hotel
Kota,IN,85.41,few clouds,25.1833,75.8333,Hotel Surya Royal
Simbahan,PH,84.38,broken clouds,6.3032,120.5836,
Dourados,BR,76.39,scattered clouds,-22.2211,-54.8056,Bravo City Hotel Dourados
Kanniyakumari,IN,80.38,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
Rajgurunagar,IN,71.8,broken clouds,18.8667,73.9,Government Rest House
Uarini,BR,85.17,few clouds,-2.99,-65.1083,
Lae,PG,73.22,overcast clouds,-6.7221,146.9847,Phils Hotel
Tonekabon,IR,84.15,scattered clouds,36.8163,50.8738,Hotel Sadra
Samarai,PG,80.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
Lagunas,PE,81.57,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
Aripuana,BR,89.06,few clouds,-9.1667,-60.6333,
Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
Bhuj,IN,86.32,clear sky,23.2667,69.6667,Regenta Resort Bhuj
Bose,IT,77.23,clear sky,45.4612,8.0137,Locanda Borgo Antico
Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
Goderich,CA,70.92,few clouds,43.7501,-81.7165,Harmony Inn
Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
Ahar,IR,88.79,few clouds,38.4774,47.0699,هتل رضوی
Izumo,JP,73.35,light rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
Dakar,SN,86.88,broken clouds,14.6937,-17.4441,Novotel Dakar
Zhezkazgan,KZ,75.18,clear sky,47.8043,67.7144,Hotel Zumrat
Ambon,ID,79.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
Nakamura,JP,72.18,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
Udgir,IN,73.81,overcast clouds,18.3833,77.1167,Sarpmitra Ganesh Kallure
Shahr-E Kord,IR,80.37,scattered clouds,32.3256,50.8644,Shahrekord Tourist Hotel
Manoel Urbano,BR,86.5,clear sky,-8.8389,-69.2597,Baixada Beira Rio
Calderitas,MX,75.31,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
Derzhavinsk,KZ,70.66,clear sky,51.1,66.3167,Ooo.khim Baza
Pandan,PH,82.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
Barcelona,ES,84.61,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
Key West,US,84.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
La Seyne-Sur-Mer,FR,81.88,broken clouds,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
Namibe,AO,72.23,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
Forestville,US,71.35,few clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
Pascagoula,US,73.45,clear sky,30.3658,-88.5561,Regency Inn
Ghanzi,BW,82.98,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
Thinadhoo,MV,83.14,broken clouds,0.5333,72.9333,
Shieli,KZ,82.08,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
Rosetta,EG,82.2,clear sky,31.4044,30.4164,Green Valley
Dharmadam,IN,78.08,overcast clouds,11.7833,75.4333,Samudra Homes
Vangaindrano,MG,74.28,clear sky,-23.35,47.6,Hotel Fanilo
Sayyan,YE,76.86,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
Venezuela,VE,80.65,few clouds,8.0,-66.0,
Gusau,NG,77.67,light rain,12.1628,6.6614,GUEST INN
Hami,CN,75.31,clear sky,42.8,93.45,Laoyutang Resort
Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
Marrakesh,MA,80.67,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
Japura,ID,74.98,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
Ponta Delgada,PT,80.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
Buala,SB,79.95,light rain,-8.145,159.5921,Maringe Lagoon Lodge
Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
Kondoa,TZ,84.76,broken clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
Mayumba,GA,77.81,overcast clouds,-3.432,10.6554,LIKWALE LODGE
Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
Wundanyi,KE,71.67,overcast clouds,-3.4019,38.364000000000004,Taita Rocks Hotel
Bac Lieu,VN,79.05,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
Marsa Matruh,EG,84.4,scattered clouds,31.3525,27.2453,Beau Site
Banjar,ID,75.69,clear sky,-8.19,114.9675,The Hamsa Resort
Domoni,KM,77.9,light rain,-12.2569,44.5319,Al Djadid
Presidente Medici,BR,88.57,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
Senigallia,IT,77.09,broken clouds,43.7093,13.2167,Hotel Universal
Ha Giang,VN,80.44,clear sky,22.8333,104.9833,Truong Xuan Resort
Vilhena,BR,77.22,mist,-12.7406,-60.1458,Hotel Mirage
Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
